"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1407","Check dashboard page is displaying","tests.dashboard","Mon Apr 20 16:19:46 UTC 2026","passed","Mon Apr 20 16:19:48 UTC 2026","TestDashboard","test_dashboard","",""
"","1668","User login with wrong email or password","tests.authentication","Mon Apr 20 16:19:38 UTC 2026","passed","Mon Apr 20 16:19:40 UTC 2026","TestAuthorization","test_authorization","",""
"","1528","Check displaying of empty courses list","tests.courses","Mon Apr 20 16:19:44 UTC 2026","passed","Mon Apr 20 16:19:46 UTC 2026","TestCourses","test_courses","",""
"","1818","User login with wrong email or password","tests.authentication","Mon Apr 20 16:19:36 UTC 2026","passed","Mon Apr 20 16:19:38 UTC 2026","TestAuthorization","test_authorization","",""
"","1454","User login with wrong email or password","tests.authentication","Mon Apr 20 16:19:40 UTC 2026","passed","Mon Apr 20 16:19:41 UTC 2026","TestAuthorization","test_authorization","",""
"","1450","User registration with email, username and password","tests.authentication","Mon Apr 20 16:19:41 UTC 2026","passed","Mon Apr 20 16:19:43 UTC 2026","TestRegistration","test_registration","",""
"","2286","Create course","tests.courses","Mon Apr 20 16:19:43 UTC 2026","passed","Mon Apr 20 16:19:46 UTC 2026","TestCourses","test_courses","",""
"","3155","User login with correct email and password","tests.authentication","Mon Apr 20 16:19:36 UTC 2026","passed","Mon Apr 20 16:19:39 UTC 2026","TestAuthorization","test_authorization","",""
"","0","test_my","tests.pytest","Mon Apr 20 16:19:46 UTC 2026","passed","Mon Apr 20 16:19:46 UTC 2026","","test_markers","",""
"","1319","Navigation from login page to registration page","tests.authentication","Mon Apr 20 16:19:40 UTC 2026","passed","Mon Apr 20 16:19:42 UTC 2026","TestAuthorization","test_authorization","",""
"","0","test_regression_case","tests.pytest","Mon Apr 20 16:19:48 UTC 2026","passed","Mon Apr 20 16:19:48 UTC 2026","","test_markers","",""
